项目 	2016 年度 	2015 年度 	2014 年度 					
产量 	30.01 	29.49 	33.01 					
产能 	37.46 	36.63 	34.05 					
产能利用率 	80.10% 	80.51% 	96.95% 					
								
产品 	项目 	2016 年度 	2015 年度 	2014 年度 				
建筑化学品 	销售金额 	135,553.63     	148,783.57   	218,309.27   				
建筑化学品 	销售数量 	    16.29     	  18.81   	  21.75   				
建筑化学品 	销售均价（元/吨） 	8,320.68     	7,910.50   	10,038.33   				
聚氨酯原料产品 	销售金额 	82,840.12   	76,409.36   	124,768.26   				
产品 	项目 	2016 年度 	2015 年度 	2014 年度 				
销售数量 	  9.48   	  7.84   	  10.31   					
销售均价（元/吨） 	8,739.20   	9,751.96   	12,100.84   					
销售金额 	18,293.88   	14,376.17   	7,817.03   					
销售数量 	  3.32   	  2.75   	  0.70   					
销售均价（元/吨） 	5,503.36   	5,232.01   	11,171.60   					
								
年度 	序号 	客户名称 	销售金额（万元） 	占比 				
2016 年度 	1 	基仕伯集团 	18,614.84     	7.60% 				
2016 年度 	2 	巴斯夫集团 	14,191.27   	5.79% 				
2016 年度 	3 	PEIK FOAM CO. 	6,048.77   	2.47% 				
2016 年度 	4 	CHIYOWA TSUSHO CORP.,LTD 	3,325.54   	1.36% 				
2016 年度 	5 	上海聚尚国际贸易有限公司 	3,155.81   	1.29% 				
2016 年度 	合计 	合计 	45,336.22     	18.51% 				
2015 年度 	1 	格雷斯集团 	13,705.79   	5.52% 				
2015 年度 	2 	巴斯夫集团 	9,500.09   	3.83% 				
2015 年度 	3 	浙江五龙新材股份有限公司 	3,909.98   	1.57% 				
2015 年度 	4 	MIDDLE EAST FZE 客户群 	3,735.64   	1.50% 				
2015 年度 	5 	烟台市顺达客户群 	 3,063.51   	1.23% 				
2015 年度 	合计 	合计 	 33,915.00   	13.66% 				
2014 年度 	1 	格雷斯集团 	15,029.33   	4.15% 				
2014 年度 	2 	浙江五龙新材股份有限公司 	6,205.77   	1.72% 				
2014 年度 	3 	NORTEX 客户群 	6,084.33   	1.68% 				
2014 年度 	4 	广州市华力新客户群 	5,440.79   	1.50% 				
2014 年度 	5 	BAALBAKI 客户群 	5,257.09   	1.45% 				
2014 年度 	合计 	合计 	38,017.32   	10.51% 				
								
原材料 	项目 	2016 年度 	2015 年度 	2014 年度 				
环氧乙烷 	采购量（万吨） 	15.08 	16.07 	17.46 				
环氧乙烷 	采购金额（万元） 	107,246.17 	107,962.66 	155,423.46 				
环氧乙烷 	占采购总额比重 	50.42% 	51.01% 	48.51% 				
环氧丙烷 	采购量（万吨） 	8.79 	7.50 	9.90 				
环氧丙烷 	采购金额（万元） 	67,164.43 	67,434.32 	112,305.36 				
环氧丙烷 	占采购总额比重 	31.57% 	31.86% 	35.05% 				
								
原材料 	项目 	2016 年度 	2015 年度 	2014 年度 				
环氧乙烷 	采购均价（万元/吨） 	  0.71   	  0.67   	  0.89   				
环氧丙烷 	采购均价（万元/吨） 	  0.76   	  0.90   	  1.13   				
								
能源 	项目 	2016 年度 	2015 年度 	2014 年度 				
电 	耗用量（千瓦时） 	29,818,267.56   	29,359,226.61   	31,102,569.68   				
电 	金额（万元） 	2,010.46   	2,000.95   	2,121.96   				
								
年度 	供应商名称 	采购金额（万元） 	占比 					
2016 年度 	中石化集团 	    54,652.15     	25.69% 					
2016 年度 	利安德集团 	   28,939.77     	13.60% 					
2016 年度 	中石油集团   	 23,769.59   	11.17% 					
								
三江集团 	  20,529.61   	9.65% 						
滨化集团 	  18,855.06   	8.86% 						
合计 	    146,746.19     	68.98% 						
中石化集团 	    62,660.67     	29.61% 						
利安德集团 	  32,524.05   	15.37% 						
中石油集团 	19,009.88     	8.98% 						
滨化集团 	    18,030.05     	8.52% 						
三江集团 	  17,783.71   	8.40% 						
合计 	  150,008.36   	70.88% 						
中石化集团 	94,908.30     	29.62% 						
利安德集团 	46,858.97     	14.63% 						
滨化集团 	28,956.68     	9.04% 						
三江集团 	  26,103.33   	8.15% 						
中石油集团 	23,343.87     	7.29% 						
合计 	  220,171.16   	68.72% 						
								
2015 年度 								
2014 年度 								
								
类别 	账面原值 	累计折旧 	减值准备 	账面价值 				
房屋及建筑物 	22,984.44 	3,183.22 	22.41 	19,778.81 				
机器设备 	37,260.57 	11,201.14 	-- 	26,059.43 				
运输设备 	687.92 	547.23 	-- 	140.69 				
通用设备 	1,289.85   	805.94   	-- 	483.91 				
类别 	账面原值 	累计折旧 	减值准备 	账面价值 				
小计 	62,222.78   	15,737.53   	22.41 	46,462.84 				
								
 	所属公司 	设备名称 	数量 	原值 	净值 	成新率 		
1 	佳化化学 	研发设备自动化系统 	1 	368.16 	333.19 	90.50% 		
2 	佳化化学 	60 立方米反应釜装置 	1 	203.86 	10.19 	5.00% 		
3 	佳化化学 	配电系统 	1 	181.05 	163.85 	90.50% 		
4 	佳化化学 	60 立方米反应釜装置 	1 	116.33 	99.75 	85.75% 		
5 	滨州佳化 	丙烷储罐 	1 	  509.04 	412.50   	81.04% 		
6 	滨州佳化 	反应釜 	1 	  444.10 	233.46   	52.57% 		
7 	滨州佳化 	反应釜 	1 	  397.08 	208.75   	52.57% 		
8 	滨州佳化 	反应釜 	1 	  292.67 	153.86   	52.57% 		
9 	滨州佳化 	反应釜 	1 	  253.88 	133.46   	52.57% 		
10 	滨州佳化 	POP 混合釜 	1 	  239.08 	125.68   	52.57% 		
11 	滨州佳化 	配电系统 	1 	  231.14 	121.73   	52.66% 		
12 	滨州佳化 	反应釜 	1 	  200.08 	200.08   	100.00% 		
13 	滨州佳化 	中和釜 	1 	197.85 	104.01 	52.57% 		
14 	滨州佳化 	中和釜 	1 	194.16 	102.08 	52.57% 		
15 	滨州佳化 	厌氧罐 	1 	175.01 	158.62 	90.63% 		
16 	滨州佳化 	POP 混合釜 	1 	154.97 	81.47 	52.57% 		
17 	滨州佳化 	蒸馏釜 	1 	143.25 	75.31 	52.57% 		
18 	滨州佳化 	反应釜 	1 	117.55 	61.71 	52.50% 		
19 	滨州佳化 	反应釜 	1 	115.27 	60.60 	52.57% 		
20 	滨州佳化 	水剂储罐 	1 	114.15 	114.15 	100.00% 		
21 	滨州佳化 	PO 原料储罐 	1 	114.04 	60.25 	52.83% 		
22 	滨州佳化 	质量流量计 	1 	101.80 	53.44 	52.50% 		
23 	滨州佳化 	变压吸附制氮设备 	1 	100.85 	52.95 	52.50% 		
 	所属公司 	设备名称 	数量 	原值 	净值 	成新率 		
24 	上海抚佳 	反应釜 	10 	1,344.09 	1,278.90 	95.15% 		
25 	上海抚佳 	2000 立方米环氧丙烷球罐 	2 	609.46 	579.91 	95.15% 		
26 	上海抚佳 	配电系统 	1 	490.07 	466.30 	95.15% 		
27 	上海抚佳 	全自动包装机 	1 	439.19 	417.89 	95.15% 		
28 	上海抚佳 	硬泡反应釜 	2 	366.60 	348.82 	95.15% 		
29 	上海抚佳 	软泡中和釜 	2 	344.06 	327.38 	95.15% 		
30 	上海抚佳 	软泡反应釜 	2 	343.40 	326.74 	95.15% 		
31 	上海抚佳 	硬泡反应釜 	2 	303.29 	288.58 	95.15% 		
32 	上海抚佳 	聚合反应釜 	1 	276.15 	88.64 	32.10% 		
33 	上海抚佳 	配电系统 	1 	273.73 	119.01 	43.48% 		
34 	上海抚佳 	80 立方米 LP 釜 	1 	204.18 	194.28 	95.15% 		
35 	上海抚佳 	聚合反应釜 	1 	164.47 	52.79 	32.10% 		
36 	上海抚佳 	废水处理设备 	1 	164.26 	156.29 	95.15% 		
37 	上海抚佳 	带搅拌反应釜 	1 	155.14 	34.75 	22.40% 		
38 	上海抚佳 	立式反应釜 	1 	154.85 	101.07 	65.27% 		
39 	上海抚佳 	DCS 系统 	1 	154.13 	146.66 	95.15% 		
40 	上海抚佳 	SIS 系统 	1 	152.47 	145.08 	95.15% 		
41 	上海抚佳 	CAS 全自动包装机 	1 	143.59 	101.81 	70.90% 		
42 	上海抚佳 	不带搅拌反应釜 	1 	140.50 	31.47 	22.40% 		
43 	上海抚佳 	立式反应釜 	1 	134.31 	93.09 	69.31% 		
44 	上海抚佳 	研发高压发泡机 	1 	129.07 	116.55 	90.30% 		
45 	上海抚佳 	硬泡反应釜 	1 	107.06 	101.87 	95.15% 		
46 	上海抚佳 	反应釜 	1 	104.14 	45.28 	43.48% 		
47 	上海抚佳 	反应釜 	1 	102.98 	44.77 	43.48% 		
48 	上海抚佳 	软泡反应釜 	1 	102.75 	97.77 	95.15% 		
49 	上海抚佳 	电力设备 	1 	102.75 	23.02 	22.40% 		
50 	上海抚佳 	高压配电设备 	1 	100.17 	67.77 	67.65% 		
51 	茂名佳化 	管道设备 	1 	396.36 	246.06 	62.08% 		
52 	茂名佳化 	配电系统 	1 	389.56 	241.85 	62.08% 		
53 	茂名佳化 	50 立方米反应釜 	2 	211.75 	131.89 	62.28% 		
54 	茂名佳化 	消防系统 	1 	172.31 	107.02 	62.11% 		
55 	茂名佳化 	用水系统 	1 	123.06 	76.48 	62.11% 		
								
序号 	产权证号 	面积（平米） 	地点 	取得时间 	取得时间 	所有权人 		
1 	村房字第04030600079 号 	2,180.50 	抚顺市顺城区河北乡东华村 	2010-3-8 	2010-3-8 	佳化化学 		
2 	房字第 008122 号 	1,522.36 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
3 	房字第 008125 号 	585.52 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
4 	房字第 0026093 号 	548.88 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
5 	村房字第04030600083 号 	511.95 	抚顺市顺城区河北乡东华村 	2010-9-17 	2010-9-17 	佳化化学 		
6 	房字第 008123-1 号 	499.71 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
7 	房字第 008123 号 	389.88 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
8 	房字第 004799 号 	369.12 	抚顺市顺城区河北乡东沟村 	- 	- 	佳化化学 		
9 	房字第 008127 号 	353.25 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
10 	房字第 94-117 号 	313.04 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
11 	房字第 94-116 号 	240.87 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
12 	房字第 0026242 号 	227.11 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
13 	房字第 008123-3 号 	223.46 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
14 	村房字第04030600084 号 	220.00 	抚顺市顺城区河北乡东华村 	2010-9-17 	2010-9-17 	佳化化学 		
15 	房字第 008128 号 	172.10 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
16 	房字第 008123-2 号 	167.80 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
17 	村房字第04030600082 号 	88.68 	抚顺市顺城区河北乡东华村 	2010-9-17 	2010-9-17 	佳化化学 		
18 	房字第 94-120 号 	84.83 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
19 	房字第 0026262 号 	83.92 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
20 	村房字第04030600081 号 	80.90 	抚顺市顺城区河北乡东华村 	2010-9-17 	2010-9-17 	佳化化学 		
序号 	产权证号 	面积（平米） 	地点 	取得时间 	取得时间 	所有权人 		
21 	房字第 0026263 号 	64.40 	抚顺市顺城区河北乡东沟村 	- 	- 	佳化化学 		
22 	房字第 0026095 号 	62.83 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
23 	房字第 94-122 号 	46.00 	抚顺市顺城区河北乡东沟村 	2003-2-24 	2003-2-24 	佳化化学 		
