产品布局 	产品布局 	主要产品 	占 2017 年主营业务收入比例（%） 	占 2016 年主营业务收入比例（%） 	占 2015年主营业务收入比例（%） 			
2016年 	输变电监测设备 	变电监测设备 	油色谱 	200 	- 	207 	103.50% 	
2016年 	输变电监测设备 	变电监测设备 	智能除湿器 	1,200 	331 	12,270 	83.33% 	
2016年 	输变电监测设备 	变电监测设备 	其它变电监测设备 	1,200 	305 	159 	83.33% 	
2016年 	输变电监测设备 	输电监测设备 	输电监测设备 	1,200 	304 	665 	83.33% 	
2016年 	配电及自动化控制设备 	其他配电及自动化控制设备 	其他配电及自动化控制设备 	1,200 	- 	- 	83.33% 	
2016年 	配电及自动化控制设备 	故障在线监测装置 	故障在线监测装置 	1,200 	59 	1,800 	83.33% 	
2016年 	配电及自动化控制设备 	环网柜类 	环网柜类 	1,000 	851 	341 	85.10% 	
2015年 	输变电监测设备 	变电监测设备 	智能巡检机器人 	- 	- 	5 	- 	
2015年 	输变电监测设备 	变电监测设备 	油色谱 	200 	- 	151 	75.50% 	
2015年 	输变电监测设备 	变电监测设备 	智能除湿器 	1,200 	226 	15,383 	83.33% 	
2015年 	输变电监测设备 	变电监测设备 	其它变电监测设备 	1,200 	55 	93 	83.33% 	
2015年 	输变电监测设备 	输电监测设备 	输电监测设备 	1,200 	96 	178 	83.33% 	
2015年 	配电及自动化控制设备 	其他配电及自动化控制设备 	其他配电及自动化控制设备 	1,200 	- 	- 	83.33% 	
2015年 	配电及自动化控制设备 	故障在线监测	故障在线监测装置 	1,200 	623 	14,554 	83.33% 	
								
装置 								
环网柜类 	环网柜类 	600 	383 	255 	63.83% 			
								
年度 	大类 	细分类别 	固定产能类别 	产量 	销量[注 1] 	销量中自产 	产销率[注 2] 	
2017年 	输变电监测设备 	变电监测设备 	智能巡检机器人 	195 	198 	198 	101.54% 	
2017年 	输变电监测设备 	变电监测设备 	油色谱 	123 	183 	183 	148.78% 	
2017年 	输变电监测设备 	变电监测设备 	智能除湿器 	6,181 	3,986 	3,986 	64.49% 	
								
其它变电监测设备 	44 	218 	202 	459.09% 				
输电监测设备 	984 	1,574 	974 	98.98% 				
其他配电及自动化控制设备 	3 	6 	- 	0.00% 				
故障在线监测装置 	23,337 	26,994 	26,994 	115.67% 				
环网柜类 	412 	639 	478 	116.02% 				
智能巡检机器人 	150 	75 	75 	50.00% 				
油色谱 	207 	90 	90 	43.48% 				
智能除湿器 	12,270 	12,432 	12,255 	99.88% 				
其它变电监测设备 	159 	- 	- 	0.00% 				
输电监测设备 	665 	1,483 	682 	102.56% 				
其他配电及自动化控制设备 	- 	- 	- 	0.00% 				
故障在线监测装置 	1,800 	6,027 	6,027 	334.83% 				
环网柜类 	341 	858 	269 	78.89% 				
智能巡检机器人 	5 	5 	5 	100.00% 				
油色谱 	151 	103 	103 	68.21% 				
智能除湿器 	15,383 	15,383 	15,383 	100.00% 				
其它变电监测设备 	93 	202 	117 	125.81% 				
输电监测设备 	178 	284 	161 	90.45% 				
其他配电及自动化控制设备 	- 	2 	2 	- 				
故障在线监测装置 	14,554 	58,587 	540 	3.71% 				
环网柜类 	255 	455 	254 	99.61% 				
								
输电监测设备 								
其他配电及自动化控制设备 								
故障在线监测装置 								
环网柜类 								
变电监测设备 								
输电监测设备 								
其他配电及自动化控制设备 								
故障在线监测装置 								
环网柜类 								
变电监测设备 								
输电监测设备 								
其他配电及自动化控制设备 								
故障在线监测装置 								
环网柜类 								
								
配电及自动化控制设备 								
输变电监测设备 								
配电及自动化控制设备 								
输变电监测设备 								
配电及自动化控制设备 								
								
2016年 								
2015年 								
								
产品名称 	2017 年度 	2017 年度 	2016 年度 	2016 年度 	2015 年度 	2015 年度 		
产品名称 	金额 	占比(%) 	金额 	占比(%) 	金额 	占比(%) 		
1、输变电监测设备 	21,272.58 	80.00 	13,172.45   	74.23   	8,887.21   	65.94   		
（1）变电监测设备 	19,698.58 	74.08 	11,348.51   	63.95 	7,509.55   	55.72 		
智能巡检机器人 	14,644.34   	55.08   	6,407.64   	36.11 	428.21   	3.18 		
智能除湿器 	1,269.33   	4.77   	4,025.99   	22.69 	4,607.69   	34.19 		
油色谱 	2,058.53   	7.74   	914.87   	5.16   	1,266.30   	9.40 		
红外测温在线监测装置 	76.58   	0.29   	- 	- 	857.44   	6.36 		
避雷器在线监测装置 	134.92   	0.51   	- 	- 	115.09   	0.85 		
其他 	1,514.88 	5.69 	- 	- 	234.83 	1.75 		
（2）输电监测设备 	1,574.00   	5.92   	1,823.94   	10.28   	1,377.66   	10.22   		
图像/视频在线监测装置 	1,574.00   	5.92   	1,823.94   	10.28   	768.90   	5.71   		
微气象在线监测装置 	- 	- 	- 	- 	157.47   	1.17   		
其他 	- 	- 	- 	- 	451.29   	3.35   		
2、配电及自动化控制设备 	5,317.21 	20.00 	4,574.38   	25.78   	4,589.95   	34.06   		
故障在线监测装置 	3,231.18   	12.15   	857.80   	4.83   	1,380.69   	10.24   		
